question,answer
"Lannister, Targaryen, Baratheon, Stark, Tyrell. They’re all just spokes on a wheel. This one's on top, then that ones on top and on and on it spins, crushing the people on the ground.", It’s a beautiful dream. Stopping the wheel. You’re not the first person to have dreamt it.
"That one, the smaller man, no question, that’s where you should put your money.", The smaller man it is.
You don’t approve?, There’s always been more than enough death in the world for my taste. I can do without it in my leisure time.
"Fair enough, yet -- it’s an unpleasant question -- but what great thing has ever been accomplished without killing or cruelty?", It’s easy to confuse what is with what ought to be. Especially when what is has worked in your favor.
That is a vital part of the great city of Meereen. Which has existed long before you arrived and will remain standing long after we have returned to the dirt., My father would have liked you.
"So your reasons are true, and theirs are false. They don’t know their own minds, but you do."," Well said, you’re an eloquent man. Doesn’t mean you’re wrong. In my experience, eloquent men are right every bit as often as imbeciles."
She cannot., You can!
You walk like a rich person., You’ve spent a lot of time studying the way rich people walk?
You walk as though the paving stones were your personal property. I used to steal from people like you when I was a boy., It’s a good thing you’re not a boy anymore...because you have no cock.
Mhysa means mother in Valyrian., I know what mhysa means.
Who wrote it?, Hard to know. Our queen is not as popular in Meereen as she used to be.
The Sons of the Harpy?," Very possibly. Daenerys Targaryen took away their most valuable property, told them human beings weren’t even property to begin with. You can see why they’re unhappy. Of course, it could also be the freed men."
"The Lord of Light sent the Mother of Dragons to you, and those who love the darkness chased her away.", Many of the former slaves feel that Daenerys has abandoned them.
"How will you respond? Will you wring your hands, while you wait for the Mother of Dragons to return? Or will you you take up her flames yourselves? Will you fight for your own salvation, now that Queen Daenerys is not here to fight for you?", It’s a problem.
"The Sons of the Harpy planned their attack in the fighting pits very carefully, which means they take orders from someone.", And have you started looking for that someone?
No tears.," I know it was hard for you. You turned away a man who truly loves you because he would have been a liability in the Seven Kingdoms. That’s the kind of self-sacrifice that makes for a good ruler, if it’s any consolation."
It’s not.," No, I suppose not. I’m terrible at consoling."
"Yes, you really are."," All right, how about the fact that this is actually happening? You have your armies, you have your ships, you have your dragons. Everything you’ve ever wanted since you were old enough to want anything. It’s all yours for the taking. Are you afraid?"
Do you know what frightens me? I said farewell to a man who loves me. A man I thought I cared for. And I felt nothing. Just impatient to get on with it., He wasn’t the first to love you and he won’t be the last.
It’s your counsel I need., It’s yours. Now and always.
I do not make dwarf jokes., You think them.
"We are searching for the men who burned the ships, but nobody saw anything.", Surely there’s some good news lurking somewhere.
Astapor and Yunkai have stopped asking us for aid., Perhaps they can tell us their secret.
"The Masters have retaken both cities. Outside of Meereen, the whole of Slaver’s Bay has returned to the slavers.", What about the dragons? We have two of them here beneath the pyramid.
They are not eating. They haven’t touched any food since Queen Daenerys left.," Daenerys is the dragon queen. Can’t very well let the dragons starve, that’s obvious."
"If a dragon does not want to eat, how do you force him to eat?", Dragons do not do well in captivity.
How do you know this?, That’s what I do. I drink and I know things.
Many times., And did they ever harm you?
Never., Dragons are intelligent. More intelligent than men according to some maesters. They have affection for their friends and fury for their enemies. I am their friend.
Do they know that?, They will. It’s time they had their supper.
Patrol. When I am going on patrol with the Unsullied. What we see on patrol. Who we captured on patrol., That’s good. That’s very good.
Who said this?," Me. Just now. All right, no conversations. Let’s play a game."
My master Kraznys would sometimes make us play games.," There, that’s a start."
Only the girls.," Oh no, no, no. Not that, of course not that. Innocent games, fun games, drinking games."
We do not drink., Until you do.
The good masters of Astapor. And the wise masters of Yunkai. With help from their friends in Volantis., You see? You don’t even have to worry about the local rebellion. We only have to worry about the three rich foreign cities paying for it.
